French,English
je,I
de,of
est,East
pas,not
le,the
vous,you
la,the
tu,you
que,than
un,a
il,he
et,and
à,at
a,at
ne,born
les,the
ce,this
en,in
on,we
ça,it
une,a
ai,have
pour,for
des,of the
moi,me
qui,who
nous,we
y,there
mais,But
me,me
dans,in
du,of
bien,good
elle,she
si,if
tout,all
plus,more
non,no
mon,my
suis,am
te,you
au,at
avec,with
va,go
oui,Yes
toi,you
fait,made
ils,they
as,ace
être,be
faire,make
se,himself
comme,as
était,was
sur,sure
quoi,what
ici,here
sais,know
lui,him
veux,want
ma,my
là,the
rien,nothing
dit,said
es,es
où,or
votre,your
pourquoi,Why
sont,are
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,am going to
dire,say
alors,so
comment,How? 'Or' What
avez,have
bon,Well
ou,or
très,very
merci,thank you
ont,have
même,even
jamais,never
aussi,too
voir,see
chose,thing
allez,going
tous,all
deux,of them
ces,these
faut,should
sa,her
êtes,are
été,summer
ta,your
fais,do
